
2 2 2 100 2 0.100 5 5 2 0.100 2 0.773 0.521 0.433 0.153 60.00 
2 2 2 200 2 0.100 5 5 2 0.100 2 2.579 1.328 1.387 0.223 90.00 
2 2 2 300 2 0.100 5 5 2 0.100 2 3.583 2.798 2.390 0.464 80.00 
2 2 2 400 2 0.100 5 5 2 0.100 2 4.849 2.414 2.670 0.866 65.00 
2 2 2 500 2 0.100 5 5 2 0.100 2 13.217 8.916 4.912 1.254 75.00 
2 2 2 600 2 0.100 5 5 2 0.100 2 18.386 9.807 7.259 1.351 85.00 
2 2 2 700 2 0.100 5 5 2 0.100 2 30.828 27.666 8.016 2.313 70.00 
2 2 2 800 2 0.100 5 5 2 0.100 2 85.546 74.295 12.972 2.111 85.00 
2 2 2 900 2 0.100 5 5 2 0.100 2 82.481 126.563 10.027 3.987 55.00 
2 2 2 1000 2 0.100 5 5 2 0.100 2 197.240 258.950 13.208 5.047 60.00 
